ingestion_event_id,ingestion_batch_id,event_type,source_event_ref,source_observed_at,received_at,safe_payload,normalization_status,rejection_code,rejection_detail,created_at
2cbbeb04-3453-552f-b6f3-6a81e0fe1df9,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000001,2026-06-26T01:00:00Z,2026-06-26T01:02:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000001""}",normalized,,,2026-06-26T01:02:00Z
e6c55cbd-2466-5f21-99e2-0e6777e1f7ff,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000002,2026-06-26T03:07:00Z,2026-06-26T03:09:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000002""}",normalized,,,2026-06-26T03:09:00Z
e0b8061f-66a8-59d5-93a7-eb8308efa1c7,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000003,2026-06-26T05:14:00Z,2026-06-26T05:16:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000003""}",normalized,,,2026-06-26T05:16:00Z
afaad807-09ec-5337-8fff-dcc79a8bfc4c,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000004,2026-06-26T07:21:00Z,2026-06-26T07:23:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000004""}",normalized,,,2026-06-26T07:23:00Z
3000f7c8-d403-5f72-8c9a-791155620c75,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000005,2026-06-26T09:28:00Z,2026-06-26T09:30:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000005""}",normalized,,,2026-06-26T09:30:00Z
c89e4005-8d67-5d70-9dc8-701d89730c42,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000006,2026-06-26T11:35:00Z,2026-06-26T11:37:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000006""}",normalized,,,2026-06-26T11:37:00Z
8034cb99-3de1-5857-97ad-9a31d30b72c5,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000007,2026-06-26T13:42:00Z,2026-06-26T13:44:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000007""}",normalized,,,2026-06-26T13:44:00Z
2a2f542c-6319-5381-ae16-850ebfea66b4,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000008,2026-06-26T14:49:00Z,2026-06-26T14:51:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000008""}",normalized,,,2026-06-26T14:51:00Z
e2498d32-21c0-5f86-aadb-3b39d7f87263,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000009,2026-06-26T15:56:00Z,2026-06-26T15:58:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000009""}",normalized,,,2026-06-26T15:58:00Z
5f535d33-67e0-5773-a465-2ce8c5599f14,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000010,2026-06-26T01:03:00Z,2026-06-26T01:05:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000010""}",normalized,,,2026-06-26T01:05:00Z
243aaf85-76f7-59ee-849a-0b3f927c63fa,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000011,2026-06-26T03:10:00Z,2026-06-26T03:12:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000011""}",normalized,,,2026-06-26T03:12:00Z
66bd26df-632c-53fb-b3d1-ee3965b0c7d2,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000012,2026-06-26T05:17:00Z,2026-06-26T05:19:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000012""}",normalized,,,2026-06-26T05:19:00Z
caaebe74-5c58-509f-957c-c64b25872b95,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000013,2026-06-26T07:24:00Z,2026-06-26T07:26:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000013""}",normalized,,,2026-06-26T07:26:00Z
3be11469-81e9-5346-b903-7944cb4cfdb4,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000014,2026-06-26T09:31:00Z,2026-06-26T09:33:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000014""}",normalized,,,2026-06-26T09:33:00Z
364eb1d6-73ad-5af7-9fdf-7db6937f0512,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000015,2026-06-26T11:38:00Z,2026-06-26T11:40:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000015""}",normalized,,,2026-06-26T11:40:00Z
1d957d42-7ed9-55f9-b8c8-39ace3472748,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000016,2026-06-26T13:45:00Z,2026-06-26T13:47:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000016""}",normalized,,,2026-06-26T13:47:00Z
e1c6422a-2eb8-5ddd-8a60-cce6fb5d05fa,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000017,2026-06-26T14:52:00Z,2026-06-26T14:54:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000017""}",normalized,,,2026-06-26T14:54:00Z
b816cfec-396e-51fa-b324-ad0aa9fa5075,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000018,2026-06-26T15:59:00Z,2026-06-26T16:01:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000018""}",normalized,,,2026-06-26T16:01:00Z
b3953a97-371d-5b51-ad57-62c7cc6f4e6c,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000019,2026-06-26T01:06:00Z,2026-06-26T01:08:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000019""}",normalized,,,2026-06-26T01:08:00Z
da241be4-7590-5569-bbee-aa72fd69df52,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000020,2026-06-26T03:13:00Z,2026-06-26T03:15:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000020""}",normalized,,,2026-06-26T03:15:00Z
2232fe1d-4a37-55ea-a8a2-7362f64c3273,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000021,2026-06-26T05:20:00Z,2026-06-26T05:22:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000021""}",normalized,,,2026-06-26T05:22:00Z
5bbd611d-da0d-5396-a93f-341aab6e8778,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000022,2026-06-26T07:27:00Z,2026-06-26T07:29:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000022""}",normalized,,,2026-06-26T07:29:00Z
aec6fe0a-e940-526d-972c-266af581203e,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000023,2026-06-26T09:34:00Z,2026-06-26T09:36:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000023""}",normalized,,,2026-06-26T09:36:00Z
fff2873b-2610-5a37-baa4-c46bda7df9d9,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000024,2026-06-26T11:41:00Z,2026-06-26T11:43:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000024""}",normalized,,,2026-06-26T11:43:00Z
d97d32a1-ed39-57b9-9215-305ae8713cb9,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000025,2026-06-26T13:48:00Z,2026-06-26T13:50:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000025""}",normalized,,,2026-06-26T13:50:00Z
1beb9abb-8d4e-5c85-ac74-6488239d04ea,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000026,2026-06-26T14:55:00Z,2026-06-26T14:57:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000026""}",normalized,,,2026-06-26T14:57:00Z
43abbdef-8fe7-5f85-b05f-ed3f52b5327a,1d6c8986-8391-51ff-b6bc-967afce928f2,transaction,EVENT-SYN-000027,2026-06-26T15:02:00Z,2026-06-26T15:04:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-BKASH-SYN-000027""}",normalized,,,2026-06-26T15:04:00Z
4105340a-cf12-529d-82e3-013f22b232b7,0658eaaf-f15f-57de-b508-23ed43852e9f,transaction,EVENT-SYN-000028,2026-06-26T01:01:00Z,2026-06-26T01:03:00Z,"{""synthetic"":true,""synthetic_transaction_ref"":""TXN-NAGAD-SYN-000028""}",normalized,,,2026-06-26T01:03:00Z
